symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,274317475840,949.9,587352172.3070374,Financial Services,Asset Management,PASS,,96.66666666666666,60.0,22.5,90.0,60.0,67.66666666666667,1.0,,27.085829,1.929,0.64426005
OSWALPUMPS.NS,Oswal Pumps Limited,33258608640,291.8,332637569.2496531,Industrials,Electrical Equipment & Parts,PASS,,76.66666666666667,80.0,27.5,90.0,50.0,67.66666666666667,1.0,,34.009323,8.278,0.2581
JINDALPHOT.NS,Jindal Photo Limited,12195289088,1184.3,35582824.58968506,Financial Services,Asset Management,PASS,,96.66666666666666,63.33333333333333,23.333333333333336,90.0,50.0,67.66666666666667,1.0,,100.87735,5.857,0.70769
PARAS.NS,Paras Defence and Space Technologies Limited,50778075136,630.1,1694921609.4246378,Industrials,Aerospace & Defense,PASS,,76.66666666666667,87.5,12.5,90.0,60.0,67.54166666666667,1.0,,68.93873,8.394,0.20527
JUNIPER.NS,Juniper Hotels Limited,43770671104,196.72,66676255.270124815,Consumer Cyclical,Lodging,PASS,,83.33333333333334,92.5,47.5,45.0,50.0,67.45833333333334,1.0,,29.942162,50.239,0.33665
TAJGVK.NS,Taj GVK Hotels & Resorts Limited,18597263360,296.6,46378723.94318746,Consumer Cyclical,Lodging,PASS,,90.0,62.5,36.666666666666664,80.0,60.0,67.45833333333334,1.0,,14.904523,11.957,0.28652
IEX.NS,Indian Energy Exchange Limited,106698252288,119.98,837456446.1868266,Financial Services,Capital Markets,PASS,,96.66666666666666,55.0,22.5,90.0,70.0,67.41666666666667,1.0,,22.21852,0.299,0.83732
SOLARINDS.NS,Solar Industries India Limited,1289483321344,14250.0,2471909991.0333333,Basic Materials,Specialty Chemicals,PASS,,76.66666666666667,95.0,12.5,80.0,60.0,67.41666666666667,1.0,,88.487335,16.425,0.25325
EMMVEE.NS,Emmvee Photovoltaic Power Limited,141646872576,204.59,326777785.2674286,Technology,Solar,PASS,,83.33333333333334,100.0,47.5,35.0,50.0,67.33333333333334,1.0,,15.810665,214.9,0.29454002
ALGOQUANT.NS,Algoquant Fintech Limited,15474336768,55.05,57843477.186184436,Financial Services,Capital Markets,PASS,,83.33333333333334,80.0,42.5,65.0,50.0,67.33333333333334,1.0,,6.386311,23.755,0.19264
NAUKRI.NS,Info Edge (India) Limited,610657566720,943.1,2168930779.7923627,Communication Services,Internet Content & Information,PASS,,96.66666666666666,52.5,22.5,90.0,75.0,67.29166666666667,1.0,,45.428707,0.544,0.32202
SATIA.NS,Satia Industries Limited,5950000128,59.5,7067775.198175812,Basic Materials,Paper & Paper Products,PASS,,50.0,80.0,73.33333333333333,70.0,60.0,67.16666666666667,1.0,,8.439716,,0.17371
VINCOFE.NS,Vintage Coffee And Beverages Limited,17927792640,122.92,232056802.57398403,Consumer Defensive,Beverages - Non-Alcoholic,PASS,,56.66666666666667,97.5,32.5,80.0,60.0,67.04166666666669,1.0,,26.097664,16.989,0.17321
ICRA.NS,ICRA Limited,50427211776,5240.0,31323008.6,Financial Services,Financial Data & Stock Exchanges,PASS,,90.0,62.5,16.666666666666668,90.0,75.0,66.95833333333334,1.0,,27.34008,1.121,0.28874
INDOTHAI.NS,Indo Thai Securities Limited,31646097408,247.2,192380324.04186198,Financial Services,Capital Markets,PASS,,70.0,75.0,33.333333333333336,90.0,60.0,66.91666666666669,1.0,,84.3686,1.429,0.83115995
MACPOWER.NS,Macpower CNC Machines Limited,9003744256,900.0,30514064.967329916,Industrials,Specialty Industrial Machinery,PASS,,56.66666666666667,85.0,37.5,90.0,60.0,66.91666666666667,1.0,,27.83792,0.841,0.15888
ECLERX.NS,eClerx Services Limited,284401401856,1535.0,581865101.5705322,Technology,Information Technology Services,PASS,,76.66666666666667,75.0,32.5,80.0,65.0,66.91666666666667,1.0,,22.026115,15.04,0.21484
DIFFNKG.NS,Diffusion Engineers Limited,8826768384,237.75,26984530.342418924,Industrials,Specialty Industrial Machinery,PASS,,50.0,87.5,42.5,90.0,60.0,66.87500000000001,1.0,,18.779621,5.714,0.11670999
JIOFIN.NS,Jio Financial Services Limited,1492670611456,234.95,3368528204.311229,Financial Services,Asset Management,PASS,,70.0,77.5,30.0,90.0,60.0,66.87500000000001,1.0,,92.5,7.797,0.5
HINDZINC.NS,Hindustan Zinc Limited,2279559659520,539.5,5046669715.029254,Basic Materials,Other Industrial Metals & Mining,PASS,,96.66666666666666,62.5,37.5,60.0,75.0,66.79166666666667,1.0,,19.316147,88.173,0.48057
IKS.NS,Inventurus Knowledge Solutions Limited,224901513216,1342.6,379406133.9355794,Healthcare,Health Information Services,PASS,,90.0,95.0,22.5,55.0,50.0,66.75000000000001,1.0,,34.523014,34.186,0.30622
CDSL.NS,Central Depository Services (India) Limited,244676296704,1170.7,2382194900.1843915,Financial Services,Capital Markets,PASS,,96.66666666666666,60.0,12.5,90.0,70.0,66.66666666666667,1.0,,51.301487,0.139,0.51916003
GKSL.NS,Gujarat Kidney And Super Speciality Limited,8468553728,107.41,63356328.83939514,Healthcare,Medical Care Facilities,PASS,,83.33333333333334,75.0,10.0,100.0,50.0,66.58333333333334,1.0,,49.726852,,0.23938
INDNIPPON.NS,India Nippon Electricals Limited,17079175168,755.0,56335436.73283488,Consumer Cyclical,Auto Parts,PASS,,43.33333333333333,82.5,47.5,90.0,75.0,66.45833333333334,1.0,,17.372297,0.212,0.09151
HAL.NS,Hindustan Aeronautics Limited,2580468203520,3858.5,8412543174.742871,Industrials,Aerospace & Defense,PASS,,76.66666666666667,65.0,27.5,90.0,75.0,66.41666666666667,1.0,,28.991661,0.031,0.15114
INDSWFTLAB.NS,Ind-Swift Laboratories Limited,11771094016,135.75,135618021.8245412,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,36.666666666666664,75.0,77.5,90.0,50.0,66.41666666666667,1.0,,3.9359233,1.687,-0.03088
THELEELA.NS,Leela Palaces Hotels & Resorts Limited,139995152384,419.2,79741045.76133932,Consumer Cyclical,Lodging,PASS,,90.0,97.5,32.5,40.0,50.0,66.37500000000001,1.0,,36.044712,27.671,0.45567
NAVNETEDUL.NS,Navneet Education Limited,28164124672,127.06,44132910.97447459,Communication Services,Publishing,PASS,,43.33333333333333,70.0,62.5,90.0,75.0,66.33333333333334,1.0,,8.487641,5.146,-0.116000004
NILASPACES.NS,Nila Spaces Limited,5049659392,12.82,7018500.03746144,Real Estate,Real Estate - Development,PASS,,83.33333333333334,100.0,42.5,35.0,50.0,66.33333333333334,1.0,,21.016392,62.622,0.31834
GENUSPOWER.NS,Genus Power Infrastructures Limited,67351252992,238.6,133219287.07728526,Industrials,Electrical Equipment & Parts,PASS,,63.33333333333333,100.0,52.5,45.0,60.0,66.33333333333334,1.0,,12.242176,91.662,0.17695
PICCADIL.NS,Piccadily Agro Industries Limited,52729606144,534.5,91638574.35325724,Consumer Defensive,Beverages - Wineries & Distilleries,PASS,,70.0,92.5,33.333333333333336,70.0,50.0,66.29166666666669,1.0,,38.816265,,0.25937998
LUPIN.NS,Lupin Limited,1051884978176,2301.5,1978507414.7989745,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,76.66666666666667,82.5,32.5,70.0,60.0,66.29166666666667,1.0,,22.699478,31.513,0.26459998
ITDC.NS,India Tourism Development Corporation Limited,37202477056,433.75,31593056.37172648,Consumer Cyclical,Lodging,PASS,,56.66666666666667,92.5,17.5,90.0,75.0,66.29166666666667,1.0,,46.79072,0.18,0.16799
