symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,tech_trend,tech_momentum,tech_volume,tech_relative_strength,technical_score,tech_data_coverage
BANKBARODA.NS,Bank of Baroda,1447205797888,279.85,2974398640.58178,Financial Services,Banks - Regional,PASS,,37.5,50.0,16.666666666666668,100.0,46.45833333333334,1.0
BAJAJ-AUTO.NS,Bajaj Auto Limited,2484090961920,8892.5,2780748138.45,Consumer Cyclical,Auto Manufacturers,PASS,,37.5,50.0,16.666666666666668,100.0,46.45833333333334,1.0
CANBK.NS,Canara Bank,1213925294080,133.83,3688614219.2050853,Financial Services,Banks - Regional,PASS,,37.5,50.0,16.666666666666668,100.0,46.45833333333334,1.0
CIGNITITEC.NS,Cigniti Technologies Limited,29563396096,1073.2,106141242.88778482,Technology,Information Technology Services,PASS,,35.0,52.5,16.666666666666668,100.0,46.33333333333334,1.0
HEXATRADEX.NS,Hexa Tradex Limited,9071433728,161.94,819065.9768051148,Financial Services,Credit Services,PASS,,35.0,52.5,16.666666666666668,100.0,46.33333333333334,1.0
HEXT.NS,Hexaware Technologies Limited,248278024192,407.45,989869024.6623311,Technology,Information Technology Services,PASS,,35.0,52.5,16.666666666666668,100.0,46.33333333333334,1.0
JTEKTINDIA.NS,Jtekt India Limited,35395842048,127.6,20264492.762179565,Consumer Cyclical,Auto Parts,PASS,,30.0,42.5,40.0,100.0,46.25000000000001,1.0
AYMSYNTEX.NS,AYM Syntex Limited,10140973056,173.11,8968468.08037618,Consumer Cyclical,Textile Manufacturing,PASS,,30.0,42.5,40.0,100.0,46.25000000000001,1.0
PIRAMALFIN.NS,Piramal Finance Limited,390153175040,1728.0,342207602.9858439,Financial Services,Credit Services,PASS,,30.0,42.5,40.0,100.0,46.25000000000001,1.0
JKPAPER.NS,JK Paper Limited,55877361664,329.85,110822197.70636901,Basic Materials,Paper & Paper Products,PASS,,30.0,42.5,40.0,100.0,46.25000000000001,1.0
WAAREEENER.NS,Waaree Energies Limited,784569335808,2727.6,5703138930.531828,Technology,Solar,PASS,,25.0,55.0,30.0,100.0,46.25000000000001,1.0
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,915672596480,2270.0,4455608094.315088,Industrials,Aerospace & Defense,PASS,,30.0,42.5,40.0,100.0,46.25000000000001,1.0
EXCELSOFT.NS,Excelsoft Technologies Limited,8968509440,77.93,116916358.17918651,Technology,Software - Application,PASS,,23.333333333333336,50.0,40.0,100.0,46.16666666666667,1.0
SHILCTECH.NS,Shilchar Technologies Limited,42368782336,3703.5,164890491.0224528,Industrials,Electrical Equipment & Parts,PASS,,36.666666666666664,50.0,16.666666666666668,100.0,46.16666666666667,1.0
TIINDIA.NS,Tube Investments of India Limited,470894804992,2433.0,1769994825.6382244,Industrials,Conglomerates,PASS,,25.0,47.5,40.0,100.0,46.0,1.0
ESTER.NS,Ester Industries Limited,9075855360,92.91,14709550.643835958,Basic Materials,Specialty Chemicals,PASS,,25.0,47.5,40.0,100.0,46.0,1.0
TARIL.NS,Transformers And Rectifiers (India) Limited,80804642816,269.2,2078354086.388451,Industrials,Electrical Equipment & Parts,PASS,,25.0,47.5,40.0,100.0,46.0,1.0
LUMAXTECH.NS,Lumax Auto Technologies Limited,95366258688,1399.2,583875478.6784179,Consumer Cyclical,Auto Parts,PASS,,42.5,42.5,16.666666666666668,100.0,45.95833333333334,1.0
ARVIND.NS,Arvind Limited,88686493696,338.35,296436854.1009552,Consumer Cyclical,Textile Manufacturing,PASS,,42.5,42.5,16.666666666666668,100.0,45.95833333333334,1.0
SIGNPOST.NS,Signpost India Limited,12159875072,227.5,34408100.55933533,Communication Services,Advertising Agencies,PASS,,42.5,42.5,16.666666666666668,100.0,45.95833333333334,1.0
UEL.NS,Ujaas Energy Limited,20635346944,150.83,3206719.798101298,Technology,Solar,PASS,,42.5,42.5,16.666666666666668,100.0,45.95833333333334,1.0
NAVA.NS,NAVA LIMITED,154490404864,545.9,157069036.3690328,Industrials,Conglomerates,PASS,,22.5,50.0,40.0,100.0,45.87500000000001,1.0
LLOYDSME.NS,Lloyds Metals And Energy Limited,619083464704,1137.1,828526928.9121134,Basic Materials,Steel,PASS,,22.5,50.0,40.0,100.0,45.87500000000001,1.0
SHRIPISTON.NS,Shriram Pistons & Rings Limited,126132264960,2863.4,255249125.20414224,Consumer Cyclical,Auto Parts,PASS,,40.0,45.0,16.666666666666668,100.0,45.83333333333334,1.0
GMDCLTD.NS,Gujarat Mineral Development Corporation Limited,168027455488,528.15,1790652095.021285,Energy,Thermal Coal,PASS,,40.0,45.0,16.666666666666668,100.0,45.83333333333334,1.0
ZUARI.NS,Zuari Agro Chemicals Limited,8414558208,200.04,55861353.76925812,Basic Materials,Agricultural Inputs,PASS,,35.0,35.0,40.0,100.0,45.75000000000001,1.0
MARICO.NS,Marico Limited,966746374144,746.2,1259720786.3032024,Consumer Defensive,Household & Personal Products,PASS,,37.5,47.5,16.666666666666668,100.0,45.70833333333334,1.0
TRUALT.NS,TruAlt Bioenergy Limited,33506678784,390.35,82510857.95765482,Energy,Oil & Gas Refining & Marketing,PASS,,23.333333333333336,55.0,30.0,100.0,45.66666666666667,1.0
SJVN.NS,SJVN Limited,276775469056,70.43,507696396.2204221,Utilities,Utilities - Renewable,PASS,,17.5,55.0,40.0,100.0,45.62500000000001,1.0
CLSEL.NS,Chaman Lal Setia Exports Limited,11901216768,238.75,125176623.2362442,Consumer Defensive,Packaged Foods,PASS,,32.5,37.5,40.0,100.0,45.62500000000001,1.0
TIL.NS,TIL Limited,13376884736,200.0,20172674.343085732,Industrials,Farm & Heavy Construction Machinery,PASS,,17.5,55.0,40.0,100.0,45.62500000000001,1.0
IXIGO.NS,Le Travenues Technology Limited,70696525824,161.34,344674470.0848109,Consumer Cyclical,Travel Services,PASS,,35.0,50.0,16.666666666666668,100.0,45.58333333333334,1.0
INDOFARM.NS,Indo Farm Equipment Limited,5972813824,124.3,52456185.73750814,Industrials,Farm & Heavy Construction Machinery,PASS,,35.0,50.0,16.666666666666668,100.0,45.58333333333334,1.0
IKS.NS,Inventurus Knowledge Solutions Limited,224901513216,1342.6,379406133.9355794,Healthcare,Health Information Services,PASS,,35.0,50.0,16.666666666666668,100.0,45.58333333333334,1.0
EMUDHRA.NS,eMudhra Limited,33703987200,411.05,96330072.21544088,Technology,Software - Application,PASS,,35.0,50.0,16.666666666666668,100.0,45.58333333333334,1.0
RPOWER.NS,Reliance Power Limited,91483258880,22.12,1209004881.8235714,Utilities,Utilities - Independent Power Producers,PASS,,35.0,50.0,16.666666666666668,100.0,45.58333333333334,1.0
SOLARA.NS,Solara Active Pharma Sciences Limited,21330366464,442.8,44072141.07004191,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,35.0,50.0,16.666666666666668,100.0,45.58333333333334,1.0
