symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin,technical_score,tech_data_coverage,tech_trend,tech_momentum,tech_volume,tech_relative_strength,composite_score_raw,l_category,sector_preference_mult,composite_score,composite_rank,fundamental_rank,technical_rank,data_quality
MRPL.NS,Mangalore Refinery and Petrochemicals Limited,335454076928,191.19,3883263135.8248687,Energy,Oil & Gas Refining & Marketing,PASS,,27.5,48.0,52.5,20.0,60.0,39.37500000000001,1.0,,15.381335,81.274,0.096870005,62.33333333333334,1.0,56.66666666666667,55.0,60.0,93.33333333333334,43.966666666666676,L3,0.9,39.57000000000001,966,932,134,HIGH
RCF.NS,Rashtriya Chemicals and Fertilizers Limited,64332353536,116.61,594080561.6177678,Basic Materials,Agricultural Inputs,PASS,,22.5,28.0,37.5,45.0,75.0,36.62500000000001,1.0,,20.566137,56.443,0.03999,45.41666666666667,1.0,28.333333333333336,55.0,40.0,73.33333333333333,38.38333333333334,L3,1.03,39.53483333333334,967,979,494,HIGH
INDORAMA.NS,Indo Rama Synthetics (India) Limited,8185897472,31.35,6147511.164318593,Consumer Cyclical,Textile Manufacturing,PASS,,32.5,34.0,56.66666666666667,10.0,50.0,34.95833333333334,1.0,,5.971429,245.505,0.03688,44.41666666666667,1.0,18.333333333333332,50.0,60.0,73.33333333333333,36.85000000000001,L3,1.07,39.42950000000001,968,998,533,HIGH
OAL.NS,Oriental Aromatics Limited,8503876608,252.65,6821608.294249471,Basic Materials,Specialty Chemicals,PASS,,27.5,50.0,23.333333333333336,35.0,50.0,36.04166666666668,1.0,,1098.4783,60.196,0.02148,47.08333333333334,1.0,35.0,55.0,36.666666666666664,73.33333333333333,38.250000000000014,L3,1.03,39.397500000000015,969,985,432,HIGH
JUBLFOOD.NS,Jubilant Foodworks Limited,296975368192,451.55,1177478278.6150239,Consumer Cyclical,Restaurants,PASS,,42.5,56.0,17.5,10.0,75.0,37.62500000000001,1.0,,93.48861,202.293,0.095979996,33.41666666666667,1.0,25.0,30.0,23.333333333333336,73.33333333333333,36.783333333333346,L3,1.07,39.35816666666668,970,964,1029,HIGH
SMCGLOBAL.NS,SMC Global Securities Limited,13569120256,64.8,79397433.56346066,Financial Services,Capital Markets,PASS,,37.5,30.0,50.0,10.0,75.0,36.37500000000001,1.0,,16.039604,162.127,0.088479996,41.83333333333334,1.0,30.0,50.0,16.666666666666668,86.66666666666666,37.466666666666676,L2,1.05,39.34000000000001,971,981,648,HIGH
TVTODAY.NS,TV Today Network Limited,6012209664,100.76,8255332.714701335,Communication Services,Broadcasting,PASS,,22.5,32.5,30.0,90.0,50.0,42.75000000000001,1.0,,34.744827,1.895,0.025150001,31.083333333333336,1.0,18.333333333333332,30.0,23.333333333333336,73.33333333333333,40.41666666666668,L2,0.97,39.20416666666668,972,879,1071,HIGH
GREENPLY.NS,Greenply Industries Limited,24098240512,192.9,42837577.08238983,Basic Materials,Lumber & Wood Production,PASS,,32.5,44.0,23.333333333333336,45.0,60.0,38.79166666666667,1.0,,31.937086,64.017,0.06283,35.00000000000001,1.0,31.666666666666664,27.5,23.333333333333336,73.33333333333333,38.03333333333334,L3,1.03,39.17433333333334,973,947,977,HIGH
JKLAKSHMI.NS,JK Lakshmi Cement Limited,73599016960,592.85,116090169.66272786,Basic Materials,Building Materials,PASS,,42.5,22.0,50.0,35.0,60.0,39.12500000000001,1.0,,15.872825,72.145,0.0756,33.41666666666667,1.0,25.0,30.0,23.333333333333336,73.33333333333333,37.98333333333334,L3,1.03,39.12283333333334,974,935,1029,HIGH
BHAGCHEM.NS,Bhagiradha Chemicals & Industries Limited,23437719552,180.43,15645137.700819906,Basic Materials,Agricultural Inputs,PASS,,27.5,38.0,17.5,65.0,60.0,38.87500000000001,1.0,,178.64355,27.379,0.07719,33.75,1.0,18.333333333333332,30.0,36.666666666666664,73.33333333333333,37.85000000000001,L3,1.03,38.98550000000001,975,944,1022,HIGH
