symbol,name,market_cap,last_price,avg_daily_volume_value,sector,industry,red_flag_status,red_flag_reasons,fund_profitability,fund_growth,fund_valuation,fund_financial_health,fund_dividend,fundamental_score,fund_data_coverage,roe,pe_ratio,debt_to_equity,operating_margin,technical_score,tech_data_coverage,tech_trend,tech_momentum,tech_volume,tech_relative_strength,composite_score_raw,l_category,sector_preference_mult,composite_score,composite_rank,fundamental_rank,technical_rank,data_quality
GESHIP.NS,The Great Eastern Shipping Company Limited,204114214912,1429.7,822608196.2404134,Industrials,Marine Shipping,PASS,,87.5,70.0,62.5,90.0,60.0,75.87500000000001,1.0,,9.041867,8.236,0.3818,71.58333333333334,1.0,70.0,62.5,66.66666666666667,100.0,75.01666666666668,L2,1.1,82.51833333333336,1,9,56,HIGH
GARUDA.NS,Garuda Construction and Engineering Limited,14871791616,159.84,215467562.40986073,Industrials,Engineering & Construction,PASS,,87.5,98.0,47.5,90.0,65.0,80.37500000000001,1.0,,13.923346,0.023,0.32152,43.5,1.0,26.666666666666664,55.0,23.333333333333336,86.66666666666666,73.00000000000001,L2,1.1,80.30000000000003,2,1,575,HIGH
BSE.NS,BSE Limited,1137973657600,2802.0,14594607032.555079,Financial Services,Financial Data & Stock Exchanges,PASS,,97.5,94.0,27.5,100.0,60.0,79.37500000000001,1.0,,52.887882,0.0,0.8172,62.25000000000001,1.0,60.0,47.5,60.0,100.0,75.95000000000002,L1,1.05,79.74750000000002,3,2,136,HIGH
ACUTAAS.NS,Acutaas Chemicals Limited,196474322944,2399.8,826665120.4496094,Basic Materials,Specialty Chemicals,PASS,,82.5,98.0,22.5,90.0,60.0,73.62500000000001,1.0,,68.48744,0.58,0.35818002,83.16666666666667,1.0,78.33333333333333,82.5,80.0,100.0,75.53333333333335,L3,1.03,77.79933333333335,4,18,1,HIGH
NATCOPHARM.NS,Natco Pharma Limited,171843518464,959.2,2140315080.468455,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,87.5,84.0,52.5,90.0,60.0,77.37500000000001,1.0,,11.037974,3.012,0.17379999,71.83333333333334,1.0,70.0,80.0,46.66666666666667,93.33333333333334,76.26666666666668,L1,1.02,77.79200000000002,5,7,52,HIGH
QPOWER.NS,Quality Power Electrical Equipments Limited,64630968320,834.55,925731050.6261455,Industrials,Electrical Equipment & Parts,PASS,,67.5,92.0,27.5,90.0,60.0,69.37500000000001,1.0,,60.606388,5.486,0.26584,75.58333333333334,1.0,78.33333333333333,65.0,73.33333333333333,93.33333333333334,70.61666666666669,L2,1.1,77.67833333333337,6,56,26,HIGH
GANDHITUBE.NS,Gandhi Special Tubes Limited,9866306560,808.95,25045282.74431763,Industrials,Metal Fabrication,PASS,,92.5,70.0,47.5,90.0,75.0,75.62500000000001,1.0,,13.847142,0.04,0.44226003,49.75000000000001,1.0,48.33333333333333,55.0,16.666666666666668,86.66666666666666,70.45000000000002,L2,1.1,77.49500000000002,7,10,352,HIGH
MCX.NS,Multi Commodity Exchange of India Limited,614524256256,2414.5,8634885275.246176,Financial Services,Financial Data & Stock Exchanges,PASS,,92.5,100.0,22.5,90.0,75.0,78.12500000000001,1.0,,97.08484,0.024,0.72405,55.91666666666667,1.0,50.0,52.5,43.33333333333333,93.33333333333334,73.68333333333335,L1,1.05,77.36750000000002,8,3,210,HIGH
FORCEMOT.NS,FORCE MOTORS LTD,284409626624,21585.0,2885661541.4,Consumer Cyclical,Auto Manufacturers,PASS,,72.5,88.0,32.5,100.0,60.0,72.62500000000001,1.0,,20.789991,,0.14155,62.33333333333334,1.0,56.66666666666667,55.0,60.0,93.33333333333334,70.56666666666669,L2,1.07,75.50633333333336,9,22,134,HIGH
VOLTAMP.NS,Voltamp Transformers Limited,87052763136,8604.5,366967937.96666664,Industrials,Electrical Equipment & Parts,PASS,,67.5,80.0,27.5,90.0,75.0,67.87500000000001,1.0,,24.570244,0.082,0.16493,70.33333333333334,1.0,70.0,75.0,46.66666666666667,93.33333333333334,68.36666666666667,L2,1.1,75.20333333333335,10,75,64,HIGH
SHILCTECH.NS,Shilchar Technologies Limited,45501108224,3977.3,119012274.0233724,Industrials,Electrical Equipment & Parts,PASS,,97.5,78.0,22.5,,50.0,66.71875,0.8,,24.569433,,0.30227,72.95833333333334,1.0,67.5,70.0,66.66666666666667,100.0,67.96666666666667,L2,1.1,74.76333333333334,11,92,45,HIGH
ANANDRATHI.NS,Anand Rathi Wealth Limited,249368215552,3003.4,509732298.8911133,Financial Services,Asset Management,PASS,,97.5,90.0,12.5,90.0,75.0,74.87500000000001,1.0,,68.027176,9.912,0.45431998,56.41666666666667,1.0,56.66666666666667,47.5,36.666666666666664,100.0,71.18333333333335,L1,1.05,74.74250000000002,12,11,207,HIGH
PIXTRANS.NS,Pix Transmissions Limited,19832389632,1453.0,33983195.163175456,Industrials,Specialty Industrial Machinery,PASS,,77.5,72.0,42.5,90.0,60.0,69.87500000000001,1.0,,18.114948,4.661,0.24797001,59.83333333333334,1.0,53.33333333333333,65.0,43.33333333333333,86.66666666666666,67.86666666666667,L2,1.1,74.65333333333335,13,48,168,HIGH
LOTUSDEV.NS,Sri Lotus Developers and Realty Limited,55997964288,114.58,268356101.39177856,Industrials,Engineering & Construction,PASS,,97.5,88.0,27.5,90.0,50.0,74.87500000000001,1.0,,24.64086,7.958,0.3527,37.95833333333334,1.0,22.5,32.5,46.66666666666667,73.33333333333333,67.49166666666667,L2,1.1,74.24083333333334,14,11,857,HIGH
KMEW.NS,Knowledge Marine & Engineering Works Limited,37886103552,1545.2,186164761.6682658,Industrials,Marine Shipping,PASS,,92.5,100.0,22.5,60.0,50.0,69.62500000000001,1.0,,54.95021,60.049,0.38531,58.08333333333334,1.0,51.66666666666667,60.0,40.0,93.33333333333334,67.31666666666669,L2,1.1,74.04833333333336,15,52,190,HIGH
BALUFORGE.NS,Balu Forge Industries Limited,53162770432,437.75,438749531.92784524,Industrials,Metal Fabrication,PASS,,77.5,90.0,30.0,100.0,65.0,74.37500000000001,1.0,,19.683004,,0.27568,38.58333333333334,1.0,30.0,42.5,16.666666666666668,80.0,67.21666666666668,L2,1.1,73.93833333333336,16,14,808,HIGH
OSWALPUMPS.NS,Oswal Pumps Limited,35845898240,314.5,352731992.68398845,Industrials,Electrical Equipment & Parts,PASS,,82.5,84.0,27.5,90.0,50.0,70.12500000000001,1.0,,36.783627,8.278,0.2581,55.58333333333334,1.0,55.0,40.0,66.66666666666667,73.33333333333333,67.21666666666668,L2,1.1,73.93833333333336,16,44,219,HIGH
BLS.NS,BLS International Services Limited,99052871680,240.6,624888497.664945,Industrials,Specialty Business Services,PASS,,77.5,98.0,42.5,80.0,60.0,74.37500000000001,1.0,,15.4131975,16.545,0.23725,37.50000000000001,1.0,23.333333333333336,50.0,16.666666666666668,73.33333333333333,67.00000000000001,L2,1.1,73.70000000000002,18,14,872,HIGH
RAJOOENG.NS,Rajoo Engineers Limited,9986162688,55.89,30361766.530346427,Industrials,Specialty Industrial Machinery,PASS,,77.5,84.0,47.5,90.0,60.0,73.87500000000001,1.0,,15.832861,5.21,0.22469,37.0,1.0,25.0,37.5,30.0,73.33333333333333,66.50000000000001,L2,1.1,73.15000000000002,19,17,898,HIGH
NAVA.NS,NAVA LIMITED,156641214464,553.5,155147276.7294698,Industrials,Conglomerates,PASS,,82.5,60.0,50.0,80.0,75.0,69.12500000000001,1.0,,17.604961,15.987,0.32986,54.66666666666667,1.0,36.666666666666664,65.0,46.66666666666667,86.66666666666666,66.23333333333335,L2,1.1,72.85666666666668,20,61,238,HIGH
ICICIAMC.NS,ICICI Prudential Asset Management Company Limited,1385900933120,2804.0,1140966946.515983,Financial Services,Asset Management,PASS,,97.5,94.0,22.5,90.0,60.0,76.37500000000001,1.0,,42.920555,4.117,0.75343,41.04166666666667,1.0,27.5,42.5,23.333333333333336,93.33333333333334,69.30833333333335,L1,1.05,72.77375000000002,21,8,688,HIGH
SRM.NS,SRM Contractors Limited,9274647552,404.15,94190144.14818725,Industrials,Engineering & Construction,PASS,,62.5,98.0,52.5,80.0,50.0,71.62500000000001,1.0,,11.481534,19.915,0.16825001,44.16666666666667,1.0,36.666666666666664,40.0,36.666666666666664,80.0,66.13333333333334,L2,1.1,72.74666666666668,22,27,545,HIGH
TATAINVEST.NS,Tata Investment Corporation Limited,304887234560,602.6,1315349862.7007833,Financial Services,Asset Management,PASS,,96.66666666666666,72.0,62.5,,75.0,77.70833333333333,0.8,,74.67162,,0.81563,33.75000000000001,1.0,23.333333333333336,37.5,16.666666666666668,73.33333333333333,68.91666666666667,L1,1.05,72.36250000000001,23,5,1015,HIGH
BEL.NS,Bharat Electronics Limited,3114696966144,426.1,7579804249.315993,Industrials,Aerospace & Defense,PASS,,82.5,84.0,12.5,90.0,75.0,69.62500000000001,1.0,,52.09046,0.273,0.27842,50.41666666666667,1.0,50.0,47.5,23.333333333333336,93.33333333333334,65.78333333333336,L2,1.1,72.36166666666671,24,52,330,HIGH
TRAVELFOOD.NS,Travel Food Services Limited,147257180160,1118.3,87092375.63877767,Consumer Cyclical,Restaurants,PASS,,97.5,86.0,22.5,80.0,50.0,71.37500000000001,1.0,,34.83801,23.659,0.31173,50.12500000000001,1.0,27.5,55.0,60.0,80.0,67.12500000000001,L2,1.07,71.82375000000002,25,30,341,HIGH
NATIONALUM.NS,National Aluminium Company Limited,677552455680,368.5,5263869330.506672,Basic Materials,Aluminum,PASS,,97.5,60.0,37.5,90.0,75.0,72.37500000000001,1.0,,11.026332,0.282,0.42151,58.58333333333334,1.0,53.33333333333333,57.5,43.33333333333333,93.33333333333334,69.61666666666667,L3,1.03,71.70516666666667,26,24,182,HIGH
JPOLYINVST.NS,Jindal Poly Investment and Finance Company Limited,12253755392,1165.7,337725897.7484619,Financial Services,Asset Management,PASS,,87.5,48.0,72.5,90.0,50.0,71.37500000000001,1.0,,1.3783522,1.433,0.9999,55.91666666666667,1.0,63.33333333333333,42.5,40.0,86.66666666666666,68.28333333333335,L1,1.05,71.69750000000002,27,30,210,HIGH
MAYURUNIQ.NS,Mayur Uniquoters Ltd,22169692160,509.35,41980960.31959127,Consumer Cyclical,Textile Manufacturing,PASS,,77.5,74.0,52.5,90.0,60.0,72.37500000000001,1.0,,12.74012,0.735,0.20249,45.25,1.0,31.666666666666664,55.0,23.333333333333336,86.66666666666666,66.95000000000002,L2,1.07,71.63650000000003,28,24,502,HIGH
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,272820797440,944.65,651166213.9084107,Financial Services,Asset Management,PASS,,97.5,60.0,22.5,90.0,60.0,67.87500000000001,1.0,,26.882471,1.929,0.64426005,68.91666666666669,1.0,71.66666666666667,65.0,46.66666666666667,100.0,68.08333333333334,L1,1.05,71.48750000000001,29,75,72,HIGH
SANOFICONR.NS,Sanofi Consumer Healthcare India Limited,98065948672,4252.0,253187780.2424235,Healthcare,Drug Manufacturers - General,PASS,,98.33333333333334,92.0,22.5,72.5,70.0,73.58333333333334,1.0,0.7309,40.817894,6.458,0.34422,56.00000000000001,1.0,43.33333333333333,65.0,46.66666666666667,80.0,70.06666666666668,L1,1.02,71.46800000000002,30,20,209,HIGH
SJS.NS,S.J.S. Enterprises Limited,50644033536,1583.8,189733650.58052164,Consumer Cyclical,Auto Parts,PASS,,77.5,94.0,22.5,90.0,60.0,71.37500000000001,1.0,,32.682625,4.444,0.23403999,48.33333333333334,1.0,48.33333333333333,42.5,23.333333333333336,93.33333333333334,66.76666666666668,L2,1.07,71.44033333333336,31,30,392,HIGH
TDPOWERSYS.NS,TD Power Systems Limited,134852452352,863.25,890090533.8571879,Industrials,Specialty Industrial Machinery,PASS,,62.5,90.0,12.5,90.0,60.0,64.62500000000001,1.0,,61.353947,3.717,0.16845,65.91666666666667,1.0,65.0,65.0,43.33333333333333,100.0,64.88333333333335,L2,1.1,71.3716666666667,32,142,100,HIGH
POWERINDIA.NS,Hitachi Energy India Limited,1116248866816,25025.0,3723930728.8,Industrials,Electrical Equipment & Parts,PASS,,52.5,86.0,12.5,90.0,55.0,60.625000000000014,1.0,,131.57895,1.843,0.16273001,81.25000000000001,1.0,76.66666666666667,82.5,73.33333333333333,100.0,64.75000000000001,L2,1.1,71.22500000000002,33,253,4,HIGH
GPPL.NS,Gujarat Pipavav Port Limited,73351528448,151.67,179935634.33145803,Industrials,Marine Shipping,PASS,,92.5,64.0,32.5,90.0,50.0,68.62500000000001,1.0,,15.121635,2.111,0.43796003,47.00000000000001,1.0,33.333333333333336,50.0,36.666666666666664,86.66666666666666,64.30000000000001,L2,1.1,70.73000000000002,34,70,439,HIGH
TECHNOE.NS,Techno Electric & Engineering Company Limited,126720016384,1089.6,308320118.0137899,Industrials,Engineering & Construction,PASS,,57.5,88.0,27.5,90.0,75.0,67.37500000000001,1.0,,26.956953,1.573,0.1338,51.33333333333334,1.0,45.0,47.5,46.66666666666667,80.0,64.16666666666669,L2,1.1,70.58333333333336,35,84,316,HIGH
NESCO.NS,Nesco Limited,74454491136,1055.4,55697111.4223999,Industrials,Conglomerates,PASS,,87.5,60.0,30.0,90.0,60.0,66.87500000000001,1.0,,18.215397,3.913,0.50873,52.41666666666667,1.0,28.333333333333336,55.0,70.0,80.0,63.98333333333335,L2,1.1,70.38166666666669,36,89,296,HIGH
MAHABANK.NS,Bank of Maharashtra,503719919616,65.49,1589187000.4375942,Financial Services,Banks - Regional,PASS,,62.0,84.0,66.66666666666667,,60.0,69.79166666666667,0.8,0.21174999,7.7779093,,0.55347997,55.83333333333334,1.0,46.66666666666667,65.0,30.0,93.33333333333334,67.00000000000001,L1,1.05,70.35000000000002,37,50,214,HIGH
WEBELSOLAR.NS,Websol Energy System Limited,31591448576,74.85,528770571.6706984,Technology,Solar,PASS,,97.5,100.0,47.5,70.0,50.0,77.87500000000001,1.0,,14.176135,40.716,0.34599,66.58333333333334,1.0,46.66666666666667,67.5,90.0,80.0,75.61666666666667,L2,0.93,70.32350000000001,38,4,88,HIGH
STEELCAS.NS,Steelcast Limited,23213762560,228.96,10919291.869955445,Basic Materials,Steel,PASS,,72.5,72.0,40.0,100.0,60.0,70.12500000000001,1.0,,25.639418,,0.17193002,60.33333333333334,1.0,68.33333333333333,42.5,43.33333333333333,100.0,68.16666666666669,L3,1.03,70.21166666666669,39,44,158,HIGH
AETHER.NS,Aether Industries Limited,153311870976,1155.55,251407881.66105348,Basic Materials,Specialty Chemicals,PASS,,72.5,88.0,17.5,90.0,50.0,66.62500000000001,1.0,,70.93616,9.242,0.29429,74.25000000000001,1.0,75.0,50.0,90.0,100.0,68.15000000000002,L3,1.03,70.19450000000002,40,94,34,HIGH
ARROWGREEN.NS,Arrow Greentech Limited,5710030336,378.45,15088262.75743103,Consumer Cyclical,Packaging & Containers,PASS,,92.5,66.0,37.5,90.0,60.0,71.12500000000001,1.0,,11.124339,1.218,0.30806,42.91666666666667,1.0,36.666666666666664,32.5,46.66666666666667,73.33333333333333,65.48333333333335,L2,1.07,70.0671666666667,41,38,599,HIGH
LLOYDSME.NS,Lloyds Metals And Energy Limited,700943237120,1245.8,746457034.0877279,Basic Materials,Steel,PASS,,82.5,92.0,32.5,50.0,60.0,66.12500000000001,1.0,,28.410492,100.054,0.31112,75.41666666666667,1.0,58.33333333333333,80.0,90.0,86.66666666666666,67.98333333333335,L3,1.03,70.02283333333335,42,108,28,HIGH
NAM-INDIA.NS,Nippon Life India Asset Management Limited,534677389312,838.9,600665030.7667745,Financial Services,Asset Management,PASS,,97.5,80.0,17.5,90.0,50.0,70.87500000000001,1.0,,37.601974,1.938,0.68482,49.66666666666667,1.0,48.33333333333333,42.5,30.0,93.33333333333334,66.63333333333335,L1,1.05,69.96500000000003,43,40,356,HIGH
IRCTC.NS,Indian Railway Catering And Tourism Corporation Limited,418279981056,522.85,1881331980.9307516,Consumer Cyclical,Travel Services,PASS,,97.5,82.0,17.5,90.0,70.0,73.37500000000001,1.0,,29.324171,1.836,0.31261998,33.16666666666667,1.0,21.666666666666664,37.5,16.666666666666668,73.33333333333333,65.33333333333336,L2,1.07,69.9066666666667,44,21,1040,HIGH
SHRIPISTON.NS,Shriram Pistons & Rings Limited,137655697408,3125.0,314769554.9997803,Consumer Cyclical,Auto Parts,PASS,,67.5,72.0,22.5,80.0,60.0,61.375000000000014,1.0,,25.38174,19.519,0.16908,80.58333333333334,1.0,71.66666666666667,75.0,90.0,100.0,65.21666666666668,L2,1.07,69.78183333333335,45,233,5,HIGH
BANCOINDIA.NS,Banco Products (I) Limited,79199756288,553.7,161834770.54619548,Consumer Cyclical,Auto Parts,PASS,,67.5,92.0,42.5,70.0,70.0,69.37500000000001,1.0,,16.232777,44.582,0.1257,48.00000000000001,1.0,33.333333333333336,50.0,46.66666666666667,80.0,65.10000000000002,L2,1.07,69.65700000000002,46,56,400,HIGH
SHAILY.NS,Shaily Engineering Plastics Limited,110334541824,2399.0,912460931.3230021,Basic Materials,Specialty Chemicals,PASS,,77.5,82.0,17.5,80.0,60.0,65.37500000000001,1.0,,69.9213,29.807,0.21486,76.58333333333334,1.0,66.66666666666667,67.5,90.0,100.0,67.61666666666667,L3,1.03,69.64516666666668,47,128,18,HIGH
HDFCAMC.NS,HDFC Asset Management Company Limited,1023780257792,2390.0,2220947475.8832846,Financial Services,Asset Management,PASS,,97.5,78.0,12.5,100.0,60.0,72.37500000000001,1.0,,35.676968,,0.82412004,41.75,1.0,36.666666666666664,37.5,23.333333333333336,86.66666666666666,66.25000000000001,L1,1.05,69.56250000000001,48,24,655,HIGH
JARO.NS,Jaro Institute of Technology Management and Research Limited,10771279872,486.15,111769393.94566345,Consumer Defensive,Education & Training Services,PASS,,77.5,85.0,36.666666666666664,80.0,60.0,69.95833333333334,1.0,,21.645147,13.318,0.13286,67.87500000000001,1.0,62.5,60.0,80.0,80.0,69.54166666666669,L1,1.0,69.54166666666669,49,47,79,HIGH
LUPIN.NS,Lupin Limited,1061482921984,2322.5,1995465323.4958577,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,77.5,80.0,32.5,70.0,60.0,65.87500000000001,1.0,,22.88403,31.513,0.26459998,76.08333333333334,1.0,68.33333333333333,75.0,73.33333333333333,100.0,67.91666666666669,L1,1.02,69.27500000000002,50,115,23,HIGH
INDHOTEL.NS,The Indian Hotels Company Limited,876051365888,615.45,1606869709.6468241,Consumer Cyclical,Lodging,PASS,,82.5,90.0,22.5,80.0,60.0,69.62500000000001,1.0,,43.618004,25.013,0.3392,44.083333333333336,1.0,25.0,50.0,46.66666666666667,73.33333333333333,64.51666666666668,L2,1.07,69.03283333333336,51,52,551,HIGH
HINDCOPPER.NS,Hindustan Copper Limited,473492553728,489.45,7539042681.93003,Basic Materials,Copper,PASS,,82.5,76.0,27.5,90.0,75.0,70.62500000000001,1.0,,71.45256,4.776,0.286,52.58333333333334,1.0,45.0,55.0,36.666666666666664,86.66666666666666,67.01666666666668,L3,1.03,69.02716666666669,52,41,289,HIGH
INOXINDIA.NS,INOX India Limited,107164467200,1180.7,78930813.19831543,Industrials,Specialty Industrial Machinery,PASS,,77.5,68.0,12.5,80.0,60.0,60.875000000000014,1.0,,43.29666,10.139,0.19635999,69.83333333333334,1.0,75.0,57.5,56.66666666666667,100.0,62.666666666666686,L2,1.1,68.93333333333337,53,247,68,HIGH
ASHOKA.NS,Ashoka Buildcon Limited,31943708672,113.73,175447693.4624153,Industrials,Engineering & Construction,PASS,,87.5,74.0,72.5,45.0,50.0,68.87500000000001,1.0,,1.124481,44.43,0.21544,37.50000000000001,1.0,21.666666666666664,47.5,23.333333333333336,73.33333333333333,62.600000000000016,L2,1.1,68.86000000000003,54,64,872,HIGH
SUZLON.NS,Suzlon Energy Limited,575337070592,41.95,2700519513.931047,Industrials,Specialty Industrial Machinery,PASS,,67.5,84.0,27.5,90.0,50.0,66.37500000000001,1.0,,17.775425,5.051,0.15637,47.25000000000001,1.0,35.0,40.0,60.0,73.33333333333333,62.55000000000002,L2,1.1,68.80500000000002,55,102,426,HIGH
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,262080593920,2287.5,2257291198.9660482,Industrials,Aerospace & Defense,PASS,,57.5,94.0,22.5,90.0,75.0,67.87500000000001,1.0,,38.029922,1.393,0.08417,41.16666666666667,1.0,28.333333333333336,37.5,40.0,80.0,62.533333333333346,L2,1.1,68.78666666666669,56,75,680,HIGH
IEX.NS,Indian Energy Exchange Limited,107187363840,120.53,796629809.8971008,Financial Services,Capital Markets,PASS,,97.5,60.0,22.5,90.0,70.0,68.87500000000001,1.0,,22.32037,0.299,0.83732,50.58333333333334,1.0,35.0,60.0,46.66666666666667,73.33333333333333,65.21666666666668,L1,1.05,68.47750000000002,57,64,327,HIGH
SUDEEPPHRM.NS,Sudeep Pharma Limited,69333508096,613.85,63127295.51334432,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,97.5,78.0,22.5,80.0,50.0,69.37500000000001,1.0,,41.14276,19.321,0.32558,58.04166666666667,1.0,42.5,45.0,83.33333333333334,86.66666666666666,67.10833333333335,L1,1.02,68.45050000000002,58,56,191,HIGH
EICHERMOT.NS,Eicher Motors Limited,1894139559936,6905.0,4670481919.0,Consumer Cyclical,Auto Manufacturers,PASS,,77.5,82.0,12.5,90.0,75.0,67.87500000000001,1.0,,35.41752,2.018,0.22009,48.25,1.0,41.66666666666667,50.0,23.333333333333336,93.33333333333334,63.95000000000001,L2,1.07,68.42650000000002,59,75,396,HIGH
PREMIERPOL.NS,Premier Polyfilm Limited,6280358400,59.96,15278894.936605453,Basic Materials,Specialty Chemicals,PASS,,62.5,80.0,32.5,80.0,60.0,64.12500000000001,1.0,,21.803637,12.992,0.12849,75.66666666666667,1.0,70.0,75.0,73.33333333333333,93.33333333333334,66.43333333333335,L3,1.03,68.42633333333336,60,156,25,HIGH
PROSTARM.NS,Prostarm Info Systems Limited,7530649088,127.91,50884923.37748261,Industrials,Electrical Equipment & Parts,PASS,,67.5,90.0,32.5,90.0,50.0,68.87500000000001,1.0,,32.219143,6.147,0.12133,35.50000000000001,1.0,26.666666666666664,35.0,23.333333333333336,73.33333333333333,62.20000000000002,L2,1.1,68.42000000000003,61,64,959,HIGH
INDOTECH.NS,Indo Tech Transformers Limited,13793775616,1298.1,65349469.21898194,Industrials,Electrical Equipment & Parts,PASS,,67.5,80.0,37.5,90.0,50.0,67.37500000000001,1.0,,15.33672,3.617,0.1619,41.333333333333336,1.0,16.666666666666668,55.0,40.0,73.33333333333333,62.16666666666668,L2,1.1,68.38333333333335,62,84,674,HIGH
MONARCH.NS,Monarch Networth Capital Limited,21243914240,268.0,30629948.597300213,Financial Services,Capital Markets,PASS,,72.5,78.0,40.0,90.0,60.0,69.62500000000001,1.0,,13.366584,1.259,0.67258,47.08333333333334,1.0,38.333333333333336,40.0,53.33333333333333,73.33333333333333,65.11666666666669,L1,1.05,68.37250000000003,63,52,432,HIGH
GHCLTEXTIL.NS,GHCL Textiles Limited,7234888192,75.69,16588749.604271699,Consumer Cyclical,Textile Manufacturing,PASS,,27.5,92.0,62.5,90.0,60.0,66.37500000000001,1.0,,12.699665,3.879,0.04812,53.83333333333334,1.0,53.33333333333333,45.0,43.33333333333333,86.66666666666666,63.86666666666669,L2,1.07,68.33733333333336,64,102,253,HIGH
SWARAJENG.NS,Swaraj Engines Limited,43368939520,3560.6,51304196.10152181,Consumer Cyclical,Auto Parts,PASS,,62.5,82.0,32.5,90.0,60.0,66.62500000000001,1.0,,23.095285,0.574,0.11883,52.833333333333336,1.0,41.66666666666667,47.5,60.0,80.0,63.86666666666668,L2,1.07,68.33733333333335,65,94,285,HIGH
ITCHOTELS.NS,ITC Hotels Limited,310536437760,149.01,766129310.3958944,Consumer Cyclical,Resorts & Casinos,PASS,,67.5,100.0,32.5,90.0,50.0,71.37500000000001,1.0,,40.93681,0.724,0.29483998,33.75,1.0,18.333333333333332,30.0,36.666666666666664,73.33333333333333,63.850000000000016,L2,1.07,68.31950000000002,66,30,1022,HIGH
BLSE.NS,BLS E-Services Limited,13085917184,144.35,84580793.8521815,Industrials,Specialty Business Services,PASS,,42.5,94.0,37.5,90.0,60.0,65.62500000000001,1.0,,23.433443,1.361,0.05377,48.0,1.0,26.666666666666664,40.0,73.33333333333333,80.0,62.100000000000016,L2,1.1,68.31000000000002,67,122,402,HIGH
TARIL.NS,Transformers And Rectifiers (India) Limited,85592285184,285.15,2163535597.451897,Industrials,Electrical Equipment & Parts,PASS,,62.5,94.0,22.5,80.0,60.0,65.62500000000001,1.0,,31.753899,26.723,0.15867,47.08333333333334,1.0,25.0,60.0,46.66666666666667,73.33333333333333,61.916666666666686,L2,1.1,68.10833333333336,68,122,432,HIGH
JBCHEPHARM.NS,JB Chemicals & Pharmaceuticals Limited,343370858496,2138.6,774972137.7794515,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,77.5,64.0,12.5,90.0,75.0,63.375000000000014,1.0,,45.042126,1.075,0.23524,80.33333333333334,1.0,78.33333333333333,77.5,73.33333333333333,100.0,66.76666666666668,L1,1.02,68.10200000000002,69,173,6,HIGH
INDSWFTLAB.NS,Ind-Swift Laboratories Limited,12270552064,141.51,133752997.17231445,Healthcare,Drug Manufacturers - Specialty & Generic,PASS,,47.5,64.0,77.5,90.0,50.0,66.37500000000001,1.0,,4.102928,1.687,-0.03088,68.00000000000001,1.0,71.66666666666667,57.5,53.33333333333333,100.0,66.70000000000002,L1,1.02,68.03400000000002,70,102,78,HIGH
SCI.NS,Shipping Corporation Of India Limited,108694200320,233.35,2336160364.6339183,Industrials,Marine Shipping,PASS,,72.5,60.0,62.5,55.0,75.0,64.12500000000001,1.0,,9.5871,32.955,0.2524,52.500000000000014,1.0,53.33333333333333,55.0,16.666666666666668,93.33333333333334,61.80000000000001,L2,1.1,67.98000000000002,71,156,293,HIGH
INTERARCH.NS,Interarch Building Solutions Limited,29223276544,1742.4,158891197.53305256,Industrials,Engineering & Construction,PASS,,42.5,94.0,37.5,90.0,60.0,65.62500000000001,1.0,,21.413298,1.401,0.0889,46.25,1.0,41.66666666666667,50.0,23.333333333333336,80.0,61.750000000000014,L2,1.1,67.92500000000003,72,122,466,HIGH
MACPOWER.NS,Macpower CNC Machines Limited,8501535232,849.8,33197390.66987915,Industrials,Specialty Industrial Machinery,PASS,,62.5,78.0,37.5,90.0,60.0,66.62500000000001,1.0,,26.244595,0.841,0.15888,41.91666666666667,1.0,33.333333333333336,37.5,30.0,86.66666666666666,61.683333333333344,L2,1.1,67.85166666666669,73,94,640,HIGH
AEROFLEX.NS,Aeroflex Industries Limited,30955636736,233.75,675537962.9789398,Industrials,Metal Fabrication,PASS,,62.5,74.0,12.5,90.0,60.0,60.625000000000014,1.0,,61.351707,2.584,0.18273,65.25000000000001,1.0,68.33333333333333,60.0,46.66666666666667,93.33333333333334,61.55000000000002,L2,1.1,67.70500000000003,74,253,106,HIGH
IGIL.NS,International Gemmological Institute (India) Limited,146264440832,338.45,300534509.6145762,Basic Materials,Other Precious Metals & Mining,PASS,,98.33333333333334,68.0,22.5,67.5,70.0,66.58333333333334,1.0,0.43001997,28.561182,10.116,0.56104,61.50000000000001,1.0,53.33333333333333,55.0,66.66666666666667,86.66666666666666,65.56666666666668,L3,1.03,67.53366666666668,75,100,147,HIGH
SCHAEFFLER.NS,Schaeffler India Limited,654365294592,4186.5,554646932.7702962,Consumer Cyclical,Auto Parts,PASS,,65.0,76.0,12.5,75.0,75.0,60.250000000000014,1.0,0.20212999,56.820034,0.904,0.14393,74.33333333333334,1.0,63.33333333333333,75.0,73.33333333333333,100.0,63.066666666666684,L2,1.07,67.48133333333335,76,270,33,HIGH
