symbol,name,sector,cmp,intrinsicValue,dcfPerShare,weightedDcfPerShare,relativeValue,upside,marginOfSafety,mosZone,verdict,wacc,costOfEquity,beta,dcfBear,dcfBull
AKUMS,AKUMS DRUGS AND PHARMA L,Healthcare,470.3,389.03,360.31,357.28,420.79,-17.3,-20.9,Sell,Overvalued,13.0,13.0,1.0,224.03,484.48
FACT,The Fertilisers and Chemicals Travancore Limited,Basic Materials,851.5,703.92,0.0,0.0,703.92,-17.3,-21.0,Sell,Overvalued,9.7,10.0,0.5,0.0,0.0
CONCORDBIO,Concord Biotech Limited,Healthcare,1182.2,976.62,967.5,957.78,995.46,-17.4,-21.1,Sell,Overvalued,10.0,10.0,0.5,671.6,1224.51
ENDURANCE,Endurance Technologies Limited,Consumer Cyclical,2403.4,1978.28,1714.85,1941.21,2015.36,-17.7,-21.5,Sell,Overvalued,10.2,10.4,0.57,1534.12,2801.01
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,7550.0,6208.77,5902.26,5862.39,6555.14,-17.8,-21.6,Sell,Overvalued,9.6,10.0,0.5,3170.39,8474.63
SIEMENS,Siemens Limited,Industrials,3207.6,2631.26,2404.37,2378.74,2883.79,-18.0,-21.9,Sell,Overvalued,10.0,10.0,0.5,1396.09,3310.12
IPCALAB,Ipca Laboratories Limited,Healthcare,1561.3,1276.33,1131.66,1117.77,1434.88,-18.3,-22.3,Sell,Overvalued,9.8,10.0,0.5,761.42,1446.33
BANDHANBNK,Bandhan Bank Limited,Financial Services,175.5,142.95,141.18,139.21,146.7,-18.5,-22.8,Sell,Overvalued,10.3,10.0,0.5,121.65,152.81
PGHH,Procter & Gamble Hygiene and Health Care Limited,Consumer Defensive,10522.0,8538.67,7340.07,7247.96,9829.39,-18.8,-23.2,Sell,Overvalued,10.0,10.0,0.5,5710.16,8601.53
JUBLFOOD,Jubilant FoodWorks Limited,Consumer Cyclical,458.15,371.51,312.24,308.65,434.37,-18.9,-23.3,Sell,Overvalued,9.8,10.0,0.5,158.08,452.05
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,709.9,575.51,553.74,552.04,598.99,-18.9,-23.4,Sell,Overvalued,10.0,10.0,0.5,287.66,813.04
HEXT,Hexaware Technologies Limited,Technology,411.35,333.33,328.09,323.63,343.03,-19.0,-23.4,Sell,Overvalued,12.9,13.0,1.0,211.09,427.27
JSWINFRA,JSW Infrastructure Limited,Industrials,253.4,205.36,201.05,197.66,213.05,-19.0,-23.4,Sell,Overvalued,10.6,11.3,0.71,142.04,246.52
NLCINDIA,NLC India Limited,Utilities,259.5,209.67,0.0,0.0,209.67,-19.2,-23.8,Sell,Overvalued,7.5,10.0,0.5,0.0,0.0
DEVYANI,Devyani International Limited,Consumer Cyclical,111.94,90.2,72.47,71.65,108.75,-19.4,-24.1,Sell,Overvalued,9.2,10.0,0.5,28.82,112.83
PRAJIND,Praj Industries Limited,Industrials,302.4,243.16,223.54,218.07,268.25,-19.6,-24.4,Sell,Overvalued,9.9,10.0,0.5,117.64,307.55
JMFINANCIL,JM Financial Limited,Financial Services,118.44,95.14,0.0,0.0,95.14,-19.7,-24.5,Sell,Overvalued,9.3,10.0,0.5,0.0,0.0
TATAPOWER,Tata Power Company Limited,Utilities,394.95,317.0,0.0,0.0,317.0,-19.7,-24.6,Sell,Overvalued,8.1,10.0,0.5,0.0,0.0
AGARWALEYE,DR AGARWALS HEALTH CARE L,Healthcare,428.1,343.06,319.19,315.58,370.55,-19.9,-24.8,Sell,Overvalued,12.7,13.0,1.0,191.93,432.0
LICHSGFIN,LIC Housing Finance Limited,Financial Services,496.6,397.76,0.0,377.05,418.48,-19.9,-24.8,Sell,Overvalued,6.0,10.0,0.5,0.0,1508.21
SHYAMMETL,Shyam Metalics and Energy Limited,Basic Materials,769.9,616.83,596.72,586.0,647.65,-19.9,-24.8,Sell,Overvalued,9.8,10.0,0.5,220.47,930.09
BASF,BASF India Limited,Basic Materials,3463.4,2768.88,2565.74,2507.72,3030.03,-20.1,-25.1,Sell,Overvalued,10.0,10.0,0.5,839.43,4059.97
ABREL,Aditya Birla Real Estate Limited,Real Estate,1134.0,905.88,0.0,0.0,905.88,-20.1,-25.2,Sell,Overvalued,8.1,10.0,0.5,0.0,0.0
APARINDS,APAR Industries Limited,Industrials,8989.0,7173.76,6892.95,6890.43,7457.09,-20.2,-25.3,Sell,Overvalued,10.0,10.0,0.5,2670.58,11105.26
INDIAMART,IndiaMART InterMESH Limited,Communication Services,2101.9,1676.83,1517.43,1506.65,1847.01,-20.2,-25.3,Sell,Overvalued,10.0,10.0,0.5,1168.15,1823.59
OBEROIRLTY,Oberoi Realty Limited,Real Estate,1452.1,1158.44,1087.88,1075.57,1241.31,-20.2,-25.3,Sell,Overvalued,9.8,10.0,0.5,815.83,1310.7
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,246.25,195.91,181.23,179.03,212.78,-20.4,-25.7,Sell,Overvalued,10.0,10.0,0.5,99.49,254.17
ERIS,Eris Lifesciences Limited,Healthcare,1321.1,1048.52,1015.65,1004.14,1092.89,-20.6,-26.0,Sell,Overvalued,9.7,10.0,0.5,643.06,1342.22
JPPOWER,Jaiprakash Power Ventures Limited,Utilities,13.9,11.03,7.52,7.39,14.66,-20.6,-26.0,Sell,Overvalued,9.6,10.0,0.5,3.66,10.87
YESBANK,Yes Bank Limited,Financial Services,18.8,14.89,15.67,15.38,14.4,-20.8,-26.3,Sell,Overvalued,10.6,10.0,0.5,5.49,24.68
DOMS,DOMS Industries Limited,Industrials,2082.5,1644.85,1525.6,1513.98,1775.71,-21.0,-26.6,Sell,Overvalued,10.0,10.0,0.5,888.64,2116.08
ATGL,Adani Total Gas Limited,Utilities,565.9,445.67,505.92,415.71,475.64,-21.2,-27.0,Sell,Overvalued,10.2,10.4,0.57,322.21,328.79
GRAVITA,Gravita India Limited,Industrials,1420.0,1117.94,1008.4,994.04,1241.84,-21.3,-27.0,Sell,Overvalued,9.8,10.0,0.5,653.04,1306.31
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,486.0,381.08,292.66,347.16,414.99,-21.6,-27.5,Sell,Overvalued,10.0,10.1,0.52,279.83,523.48
MANKIND,Mankind Pharma Limited,Healthcare,2138.9,1673.24,1542.53,1525.61,1820.88,-21.8,-27.8,Sell,Overvalued,9.5,10.0,0.5,990.04,2027.32
TATACONSUM,Tata Consumer Products Limited,Consumer Defensive,1083.6,845.85,761.94,754.52,937.18,-21.9,-28.1,Sell,Overvalued,10.0,10.0,0.5,443.69,1050.5
STARHEALTH,Star Health and Allied Insurance Company Limited,Financial Services,463.6,360.05,317.33,314.89,405.21,-22.3,-28.8,Sell,Overvalued,10.0,10.0,0.5,120.73,504.18
CONCOR,Container Corporation of India Limited,Industrials,453.4,351.83,303.55,300.11,403.55,-22.4,-28.9,Sell,Overvalued,9.9,10.0,0.5,217.09,376.23
USHAMART,Usha Martin Limited,Basic Materials,407.55,316.22,287.01,283.54,348.9,-22.4,-28.9,Sell,Overvalued,9.9,10.0,0.5,186.61,373.53
CENTURYPLY,Century Plyboards (India) Limited,Basic Materials,659.45,511.38,472.88,472.52,550.24,-22.5,-29.0,Sell,Overvalued,9.4,10.0,0.5,192.46,751.88
JSL,Jindal Stainless Limited,Basic Materials,707.45,547.44,485.03,479.84,615.05,-22.6,-29.2,Sell,Overvalued,9.6,10.0,0.5,222.34,726.98
ADANIENSOL,Adani Energy Solutions Limited,Utilities,992.3,767.39,743.69,725.84,808.94,-22.7,-29.3,Sell,Overvalued,9.0,10.5,0.58,388.55,1027.43
ABBOTINDIA,Abbott India Limited,Healthcare,26960.0,20736.27,18491.32,18272.2,23200.34,-23.1,-30.0,Sell,Overvalued,10.0,10.0,0.5,13500.43,22605.74
JUBLPHARMA,Jubilant Pharmova Limited,Healthcare,844.2,649.32,618.98,605.33,693.31,-23.1,-30.0,Sell,Overvalued,9.2,10.0,0.5,218.19,965.15
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,2424.3,1860.52,1634.63,1616.21,2104.82,-23.3,-30.3,Sell,Overvalued,10.0,10.0,0.5,1199.88,1995.69
CAMS,Computer Age Management Services Limited,Technology,644.5,493.93,431.7,426.77,561.08,-23.4,-30.5,Sell,Overvalued,10.0,10.0,0.5,332.0,511.68
IGL,Indraprastha Gas Limited,Utilities,156.51,119.78,107.69,105.51,134.04,-23.5,-30.7,Sell,Overvalued,10.0,10.0,0.5,65.36,141.3
LALPATHLAB,Dr. Lal PathLabs Limited,Healthcare,1355.1,1037.07,929.3,919.3,1154.85,-23.5,-30.7,Sell,Overvalued,10.0,10.0,0.5,656.65,1161.94
TEJASNET,Tejas Networks Limited,Technology,424.45,324.59,0.0,0.0,324.59,-23.5,-30.8,Sell,Overvalued,7.8,10.0,0.5,0.0,0.0
ITCHOTELS,ITC HOTELS LIMITED,Consumer Cyclical,153.12,116.96,101.16,99.83,134.09,-23.6,-30.9,Sell,Overvalued,13.0,13.0,1.0,78.52,118.47
SWIGGY,SWIGGY LIMITED,Consumer Cyclical,282.15,215.06,0.0,0.0,215.06,-23.8,-31.2,Sell,Overvalued,12.7,13.0,1.0,0.0,0.0
BANKBARODA,Bank of Baroda Limited,Financial Services,281.05,214.04,215.67,210.71,217.37,-23.8,-31.3,Sell,Overvalued,10.6,10.0,0.5,111.42,300.07
UNOMINDA,Uno Minda Limited,Consumer Cyclical,1013.2,771.57,691.87,691.76,851.37,-23.8,-31.3,Sell,Overvalued,9.7,10.0,0.5,293.18,1090.11
HSCL,Himadri Speciality Chemical Limited,Basic Materials,438.85,333.94,303.8,299.9,367.98,-23.9,-31.4,Sell,Overvalued,9.8,10.0,0.5,212.77,379.24
JBCHEPHARM,J. B. Chemicals & Pharmaceuticals Limited,Healthcare,2121.8,1608.04,1446.26,1429.85,1786.23,-24.2,-31.9,Sell,Overvalued,10.0,10.0,0.5,1004.25,1822.63
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services,1837.1,1389.65,1272.14,1260.59,1518.71,-24.4,-32.2,Sell,Overvalued,10.0,10.0,0.5,727.78,1770.3
JKCEMENT,J.K. Cement Limited,Basic Materials,5002.0,3764.93,4319.4,3521.19,4008.67,-24.7,-32.9,Sell,Overvalued,9.3,10.0,0.5,2212.16,3233.81
POWERGRID,Power Grid Corporation of India Limited,Utilities,300.95,226.53,207.06,205.66,247.4,-24.7,-32.9,Sell,Overvalued,8.3,10.0,0.5,100.48,308.02
GODREJAGRO,Godrej Agrovet Limited,Consumer Defensive,568.95,427.0,375.81,376.76,477.25,-24.9,-33.2,Sell,Overvalued,9.1,10.0,0.5,63.17,692.25
NAUKRI,Info Edge (India) Limited,Communication Services,952.4,714.3,592.07,584.7,843.89,-25.0,-33.3,Sell,Overvalued,10.0,10.0,0.5,423.2,731.45
RKFORGE,Ramkrishna Forgings Limited,Industrials,559.25,419.24,357.95,345.76,492.72,-25.0,-33.4,Sell,Overvalued,8.7,10.0,0.5,180.16,486.99
HINDUNILVR,Hindustan Unilever Limited,Consumer Defensive,2160.0,1618.44,1195.37,1179.09,2057.79,-25.1,-33.5,Sell,Overvalued,10.0,10.0,0.5,869.58,1456.05
HONAUT,Honeywell Automation India Limited,Industrials,30050.0,22437.14,18767.02,18549.12,26325.17,-25.3,-33.9,Sell,Overvalued,10.0,10.0,0.5,13036.85,23625.61
HINDALCO,Hindalco Industries Limited,Basic Materials,910.05,679.08,640.25,645.1,713.05,-25.4,-34.0,Sell,Overvalued,9.8,12.0,0.84,62.96,1236.92
VGUARD,V-Guard Industries Limited,Industrials,320.0,238.57,200.94,198.7,278.45,-25.4,-34.1,Sell,Overvalued,10.0,10.0,0.5,92.28,300.64
CIPLA,Cipla Limited,Healthcare,1314.7,977.39,890.6,882.35,1072.44,-25.7,-34.5,Sell,Overvalued,10.0,10.0,0.5,607.97,1140.23
ELECON,Elecon Engineering Company Limited,Industrials,380.65,282.9,254.76,251.95,313.85,-25.7,-34.6,Sell,Overvalued,9.8,10.0,0.5,175.76,322.53
BERGEPAINT,Berger Paints India Limited,Basic Materials,407.8,302.8,240.62,236.62,368.97,-25.7,-34.7,Sell,Overvalued,10.0,10.0,0.5,166.12,299.11
CANBK,Canara Bank,Financial Services,134.68,99.94,0.0,0.0,99.94,-25.8,-34.8,Sell,Overvalued,10.7,10.0,0.5,0.0,0.0
DABUR,Dabur India Limited,Consumer Defensive,453.5,336.42,276.94,273.38,399.46,-25.8,-34.8,Sell,Overvalued,10.0,10.0,0.5,195.32,344.32
FORTIS,Fortis Healthcare Limited,Healthcare,839.75,622.85,541.84,536.33,709.36,-25.8,-34.8,Sell,Overvalued,10.1,10.4,0.57,320.68,740.96
PIDILITIND,Pidilite Industries Limited,Basic Materials,1340.0,992.87,840.29,830.05,1155.69,-25.9,-35.0,Sell,Overvalued,10.0,10.0,0.5,583.89,1055.74
MGL,Mahanagar Gas Limited,Utilities,1035.0,765.32,669.47,655.84,874.8,-26.1,-35.2,Sell,Overvalued,9.9,10.0,0.5,383.63,900.77
THERMAX,Thermax Limited,Industrials,3221.0,2380.49,2056.91,2002.49,2758.48,-26.1,-35.3,Sell,Overvalued,9.7,10.0,0.5,1103.43,2792.72
CARBORUNIV,Carborundum Universal Limited,Industrials,755.6,556.74,472.66,465.29,648.18,-26.3,-35.7,Sell,Overvalued,9.9,10.0,0.5,293.46,622.37
BAYERCROP,Bayer CropScience Limited,Basic Materials,4506.1,3317.69,3043.76,3003.62,3631.76,-26.4,-35.8,Sell,Overvalued,10.0,10.0,0.5,1974.38,3952.59
GODREJCP,Godrej Consumer Products Limited,Consumer Defensive,1027.9,757.01,627.32,619.31,894.71,-26.4,-35.8,Sell,Overvalued,9.8,10.0,0.5,417.0,805.61
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,2225.7,1637.03,1368.45,1352.03,1922.03,-26.4,-36.0,Sell,Overvalued,9.5,10.0,0.5,861.92,1809.29
IRCON,Ircon International Limited,Industrials,130.22,95.78,85.57,83.79,107.77,-26.4,-36.0,Sell,Overvalued,8.2,10.0,0.5,61.41,102.6
JSWSTEEL,JSW Steel Limited,Basic Materials,1119.3,822.41,753.22,749.92,894.91,-26.5,-36.1,Sell,Overvalued,9.3,10.6,0.6,227.11,1266.13
NESTLEIND,Nestlé India Limited,Consumer Defensive,1202.2,876.61,754.45,747.15,1006.06,-27.1,-37.1,Sell,Overvalued,10.0,10.0,0.5,465.69,1014.01
CDSL,Central Depository Services (India) Limited,Financial Services,1176.5,857.66,713.45,705.17,1010.16,-27.1,-37.2,Sell,Overvalued,10.0,10.0,0.5,532.77,860.99
